LineCounter,Time,ECG_HR,NIBP_Systolic,NIBP_Diastolic,NIBP_Mean,SpO2,ET_CO2,AA_ET,AA_FI,AA_MAC_SUM,Agent_AA,O2_FI,N2O_FI,N2O_ET,CO2_RR,T1_Temp,T2_Temp,P1_HR,P1_Systolic,P1_Diastolic,P1_Mean,P2_HR,P2_Systolic,P2_Diastolic,P2_Mean,P3_HR,P3_Systolic,P3_Diastolic,P3_Mean,PPeak,PPlat,TV_Exp,TV_Insp,PEEP,MV_Exp,Compliance,RR,NMT_MODE,NMT_TWITCH_RATIO,NMT_T1,ST_II,ST_V5,ST_aVL,EEG_Entropy,EMG_Entropy,BSR_Entropy,BIS,BIS_BSR,BIS_EMG,BIS_SQI,NMT_Count,NMT_T1,NMT_T2,NMT_T3,NMT_T4,SPV,PPV,MAC_AGE_SUM
76,17/03/2023 13:11,120,-,-,-,97,-,-,-,-,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
77,17/03/2023 13:11,120,-,-,-,97,-,-,-,-,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
78,17/03/2023 13:11,120,-,-,-,97,-,-,-,-,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
79,17/03/2023 13:11,120,-,-,-,97,-,-,-,-,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
80,17/03/2023 13:11,120,-,-,-,97,-,-,-,-,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
81,17/03/2023 13:11,120,-,-,-,97,-,-,-,-,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
82,17/03/2023 13:11,120,-,-,-,97,-,-,-,-,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
83,17/03/2023 13:11,120,-,-,-,97,-,-,-,-,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
84,17/03/2023 13:11,120,-,-,-,97,-,-,-,-,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
85,17/03/2023 13:11,120,-,-,-,97,-,-,-,-,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
86,17/03/2023 13:11,120,-,-,-,97,-,-,-,-,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
87,17/03/2023 13:11,120,-,-,-,97,-,-,-,-,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
88,17/03/2023 13:11,120,-,-,-,97,-,-,-,-,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
89,17/03/2023 13:11,120,-,-,-,97,-,-,-,-,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
90,17/03/2023 13:11,120,-,-,-,97,-,-,-,-,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
91,17/03/2023 13:11,120,-,-,-,97,-,-,-,-,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
92,17/03/2023 13:11,120,-,-,-,97,-,-,-,-,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
93,17/03/2023 13:11,120,-,-,-,97,-,-,-,-,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
94,17/03/2023 13:11,120,-,-,-,97,-,-,-,-,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
95,17/03/2023 13:11,120,-,-,-,97,-,-,-,-,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
96,17/03/2023 13:11,120,-,-,-,97,-,-,-,-,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97,17/03/2023 13:11,120,-,-,-,97,-,-,-,-,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98,17/03/2023 13:11,120,-,-,-,97,-,-,-,-,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99,17/03/2023 13:11,120,-,-,-,97,-,-,-,-,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100,17/03/2023 13:11,120,-,-,-,97,-,-,-,-,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101,17/03/2023 13:11,120,-,-,-,97,-,-,-,-,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102,17/03/2023 13:11,120,-,-,-,97,-,-,-,-,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103,17/03/2023 13:11,120,-,-,-,97,-,-,-,-,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
